행정기관,날짜,성별,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
경상남도 사천시 ,2023년12월,남,3317,5229,5862,5767,8682,10110,8999,4921,2071,179,2
경상남도 김해시 ,2023년12월,남,20507,30468,33048,33134,45884,51694,36598,13573,4515,330,4
경상남도 밀양시 ,2023년12월,남,2290,3819,4383,4229,6379,8978,11298,6245,2515,218,2
경상남도 거제시 ,2023년12월,남,9794,14739,11563,13545,24699,23592,16109,6385,1932,180,4
경상남도 양산시 ,2023년12월,남,14684,18164,18772,22863,31472,30746,25342,11229,3996,320,8
경상남도 의령군 ,2023년12월,남,459,719,881,787,1365,2405,3294,1750,897,106,5
경상남도 함안군 ,2023년12월,남,1467,2888,2615,2342,4280,6003,6492,3280,1341,132,0
경상남도 창녕군 ,2023년12월,남,1139,1985,2058,2241,3425,5410,6724,3751,1647,147,1
경상남도 고성군 ,2023년12월,남,872,2164,1942,1628,3098,4848,5519,3302,1450,147,0
경상남도 남해군 ,2023년12월,남,701,1432,1616,1161,2049,3655,4506,3030,1511,197,1
경상남도 하동군 ,2023년12월,남,693,1298,1483,1231,2132,4164,5228,2945,1482,168,1
경상남도 산청군 ,2023년12월,남,498,1031,1151,966,1597,3339,4330,2520,1216,108,2
경상남도 함양군 ,2023년12월,남,692,1418,1371,1136,1917,3491,4138,2362,1266,127,4
경상남도 거창군 ,2023년12월,남,1548,3093,2995,2358,3556,5295,5728,3134,1642,204,2
경상남도 합천군 ,2023년12월,남,611,1133,1354,1174,1989,3844,5143,3077,1643,160,4
제주특별자치도 제주시 ,2023년12월,남,19787,27253,30145,30497,40458,43766,32230,14630,6185,598,12
제주특별자치도 서귀포시 ,2023년12월,남,6599,9215,9303,9116,14873,17526,14724,7363,3371,320,5
서울특별시 종로구 ,2023년12월,여,2930,4963,11322,9674,9903,12061,10324,6292,3970,646,26
서울특별시 중구 ,2023년12월,여,2751,3066,9558,10432,8225,9539,9196,5756,3460,648,22
서울특별시 용산구 ,2023년12월,여,5429,6691,16254,18795,15818,17552,15032,8742,5496,986,44
서울특별시 동대문구 ,2023년12월,여,9004,11119,29867,23990,23627,26027,24918,15591,8426,1188,46
서울특별시 중랑구 ,2023년12월,여,9376,11691,26048,28345,25447,32796,32675,18076,8884,1400,45
서울특별시 성북구 ,2023년12월,여,11729,17211,34268,28014,32249,36001,30765,19001,10537,1612,44
서울특별시 도봉구 ,2023년12월,여,6877,10789,18793,18282,21187,28384,27990,15653,8743,1411,43
서울특별시 노원구 ,2023년12월,여,12789,22741,32710,30422,39414,44771,39241,22275,12507,2158,68
서울특별시 은평구 ,2023년12월,여,11892,17342,32951,33965,35525,40332,37006,22535,11822,1633,42
서울특별시 서대문구 ,2023년12월,여,8570,11073,25909,22857,22355,25284,21868,13463,8159,1240,49
서울특별시 마포구 ,2023년12월,여,10093,13243,33058,33661,29387,28799,22421,13789,7959,1256,41
서울특별시 양천구 ,2023년12월,여,12349,22861,26112,26693,37825,37871,32812,17218,7880,1520,52
서울특별시 구로구 ,2023년12월,여,10901,13857,26344,29972,28562,31234,30913,18497,8478,1266,40
서울특별시 영등포구 ,2023년12월,여,10846,11118,31137,35012,26194,27398,25033,15088,7960,1239,43
서울특별시 동작구 ,2023년12월,여,9834,12686,32943,29460,27277,29507,27100,17117,8301,1351,40
서울특별시 관악구 ,2023년12월,여,7987,12365,55320,38968,28592,32138,31959,20879,9714,1340,43
서울특별시 서초구 ,2023년12월,여,13554,22131,26100,30593,38812,32944,25649,15839,6472,1231,48
서울특별시 강남구 ,2023년12월,여,15998,29545,35728,41945,53560,42985,33602,21018,8215,1684,73
서울특별시 송파구 ,2023년12월,여,20906,28195,44799,54753,54818,52387,47676,24218,9905,2089,73
서울특별시 강동구 ,2023년12월,여,14887,18320,29232,34733,37298,36026,36348,18632,7712,1493,63
부산광역시 중구 ,2023년12월,여,395,849,2824,1981,2046,3034,4056,2905,1553,255,18
부산광역시 서구 ,2023년12월,여,2335,3424,6348,5076,6623,8288,10179,7071,4051,656,10
부산광역시 동구 ,2023년12월,여,1943,2271,4815,5220,5240,6812,8453,6168,3600,524,10
부산광역시 부산진구 ,2023년12월,여,9545,11843,26019,24570,24449,28937,31379,18846,9903,1377,33
부산광역시 동래구 ,2023년12월,여,8862,12196,13883,15633,22095,22798,23322,13727,6383,972,24
부산광역시 남구 ,2023년12월,여,6863,10679,15269,12855,18883,21015,22193,14493,7085,977,22
부산광역시 북구 ,2023년12월,여,7742,10294,14080,15337,18278,26124,26438,13136,6559,1011,38
부산광역시 해운대구 ,2023년12월,여,11288,17182,19424,20960,31053,35599,32725,18546,9759,1575,48
부산광역시 사하구 ,2023년12월,여,7527,11580,15572,15296,20581,26021,28713,15985,7565,1151,35
부산광역시 금정구 ,2023년12월,여,4832,7847,13019,10200,14084,18820,21165,12912,6512,1024,26
부산광역시 강서구 ,2023년12월,여,8352,7341,5083,11375,13017,8120,8815,4039,2043,385,5
부산광역시 연제구 ,2023년12월,여,6229,7967,11617,12951,15617,17506,18339,11158,5284,738,16
부산광역시 사상구 ,2023년12월,여,4581,6727,11857,10884,12572,18253,20371,10518,4660,623,21
부산광역시 기장군 ,2023년12월,여,7639,9235,7655,10894,16504,13056,12615,7816,4041,709,29
대구광역시 중구 ,2023년12월,여,3360,3130,6809,6978,6430,6570,5923,4348,2471,401,15
대구광역시 동구 ,2023년12월,여,10807,12557,17854,20291,24316,29116,29758,18396,10303,1452,35
대구광역시 서구 ,2023년12월,여,3230,4782,8021,7879,9419,15082,17369,10514,5530,747,17
대구광역시 북구 ,2023년12월,여,12741,18978,26093,22225,32088,39345,31498,17325,9675,1440,38
대구광역시 수성구 ,2023년12월,여,12380,22542,22018,20097,35411,39267,29805,17612,10138,1740,44
대구광역시 달서구 ,2023년12월,여,15445,24551,31632,28000,40290,51466,42696,21470,11525,1737,36
대구광역시 달성군 ,2023년12월,여,12328,12604,11293,17400,22000,20949,18049,8721,4923,837,18
대구광역시 군위군 ,2023년12월,여,252,395,442,489,763,1704,2763,2079,1895,313,7
인천광역시 중구 ,2023년12월,여,5766,7146,10109,11325,12757,10874,9572,5470,2971,611,23
인천광역시 동구 ,2023년12월,여,1349,2212,2846,3022,4201,4686,5228,3669,2063,394,7
인천광역시 서구 ,2023년12월,여,26619,30803,35721,47296,52945,51930,38309,15843,8563,1724,64
인천광역시 강화군 ,2023년12월,여,1354,2116,1944,2310,3338,5348,8056,5288,3828,838,19
인천광역시 옹진군 ,2023년12월,여,354,448,667,603,801,1358,2199,1265,813,210,16
광주광역시 동구 ,2023년12월,여,3577,3632,7273,6986,6882,8069,8287,5789,3296,533,22
광주광역시 서구 ,2023년12월,여,8346,13392,19752,16426,22469,25727,20248,11481,6072,1095,44
광주광역시 북구 ,2023년12월,여,14163,19029,26307,25280,31862,36283,31633,17512,9279,1607,49
대전광역시 동구 ,2023년12월,여,5860,9111,13595,10876,14920,17487,17975,10872,6355,990,32
대전광역시 중구 ,2023년12월,여,5788,9616,13553,11511,15970,19072,18428,11761,6777,1119,35
대전광역시 서구 ,2023년12월,여,15192,22445,33744,30576,37180,39728,32349,15503,8303,1545,45
대전광역시 대덕구 ,2023년12월,여,4376,6902,9702,8535,11375,16286,14350,7060,4250,685,31
울산광역시 중구 ,2023년12월,여,6563,9042,9521,11319,15399,19696,18053,8874,4011,631,12
울산광역시 남구 ,2023년12월,여,9660,13409,16895,18327,23345,29941,23689,10157,4420,650,10
울산광역시 동구 ,2023년12월,여,5658,7609,6732,8412,12351,11846,12737,5174,2028,317,12
울산광역시 울주군 ,2023년12월,여,6669,10342,9980,10532,16118,20851,17035,8165,4983,948,23
세종특별자치시  ,2023년12월,여,21419,25151,18611,30072,38939,25932,18700,8685,5262,1192,38
경기도 수원시 ,2023년12월,여,40032,54982,84168,86651,96446,102050,73605,34319,19154,3403,101
경기도 성남시 ,2023년12월,여,29539,40754,56853,65257,74314,77790,64829,33853,17882,3435,104
경기도 의정부시 ,2023년12월,여,14606,19711,29676,29350,34936,42079,34756,18529,10641,1704,62
경기도 안양시 ,2023년12월,여,17411,23436,32863,37953,41566,49067,41972,18905,10477,2051,48
경기도 부천시 ,2023년12월,여,22150,31462,47982,51601,58335,71947,65207,27781,15077,2801,94
경기도 광명시 ,2023년12월,여,9148,13782,16043,17885,23594,24501,20984,10202,5542,969,35
경기도 평택시 ,2023년12월,여,23845,27492,33595,40447,46280,46347,33322,16866,10573,1734,48
경기도 동두천시 ,2023년12월,여,2163,3888,4444,4131,5949,7632,7425,4919,3349,513,15
경기도 안산시 ,2023년12월,여,17246,27234,43827,37300,45042,62574,43045,17477,11078,2091,66
경기도 고양시 ,2023년12월,여,34511,48605,66298,71839,86196,102423,74652,36297,25092,4516,110
경기도 과천시 ,2023년12월,여,3887,3877,4630,6136,6377,6875,5362,2375,1465,323,6
경기도 구리시 ,2023년12월,여,5759,8073,11409,11722,14755,17728,14063,6800,3656,553,16
경기도 남양주시 ,2023년12월,여,26423,38612,39380,42558,64702,62772,50016,27383,14632,2494,103
경기도 오산시 ,2023년12월,여,8906,12385,13072,15597,20579,17362,12311,5962,3230,521,9
경기도 시흥시 ,2023년12월,여,21621,25179,29271,35274,42888,44408,29270,11938,7249,1336,45
경기도 군포시 ,2023년12월,여,7481,11581,15950,16763,19845,24069,20417,8849,5559,1107,35
경기도 의왕시 ,2023년12월,여,5597,6521,9386,11184,11233,14587,12660,5187,3011,652,23
경기도 하남시 ,2023년12월,여,14941,15748,18088,26040,29720,23805,21620,10183,4547,930,37
경기도 용인시 ,2023년12월,여,39746,58815,63274,66029,96649,91225,62867,39342,20468,3656,108
경기도 파주시 ,2023년12월,여,19551,25538,25841,33150,40811,39844,30686,17062,11110,1948,53
경기도 안성시 ,2023년12월,여,5400,8391,9939,9579,13588,15402,14591,7964,5402,1008,32
경기도 김포시 ,2023년12월,여,22308,26143,23951,33955,46070,35677,29735,15852,8157,1485,38
경기도 화성시 ,2023년12월,여,46504,54076,50893,73325,86835,64394,44105,20232,11214,2180,66
경기도 광주시 ,2023년12월,여,14550,17122,19401,25000,32441,33248,28778,13417,6611,1164,44
경기도 양주시 ,2023년12월,여,10625,13200,13920,16454,21426,21898,18285,9959,5798,1047,38
경기도 포천시 ,2023년12월,여,3182,4985,6927,5971,7990,12740,13277,6684,4843,860,27
경기도 여주시 ,2023년12월,여,3045,4419,5123,5255,7561,9727,10610,5848,3850,768,29
경기도 가평군 ,2023년12월,여,1354,2136,2408,2431,3488,5067,6562,3793,2475,438,13
경기도 양평군 ,2023년12월,여,3154,4764,4412,5075,8047,10552,13404,7553,4532,917,27
강원도 춘천시 ,2023년12월,여,9258,12558,17250,16458,20698,23329,22802,12156,8848,1610,40
강원도 원주시 ,2023년12월,여,12514,16886,19814,22191,28121,31426,27562,12957,9183,1690,44
강원도 강릉시 ,2023년12월,여,5526,8235,10225,9469,14697,17861,19335,11495,7317,1469,51
강원도 동해시 ,2023년12월,여,2650,3943,3503,3680,6410,7547,7886,4616,2828,506,11
강원도 태백시 ,2023년12월,여,865,1628,1286,1310,2627,3170,3808,2761,1566,199,6
강원도 속초시 ,2023년12월,여,2461,3358,3525,4007,5842,7588,7684,4052,2427,484,6
강원도 삼척시 ,2023년12월,여,1570,2325,2844,2250,3625,4816,5995,3837,2979,567,21
강원도 홍천군 ,2023년12월,여,1569,2240,2319,2460,3419,5354,7629,3932,3102,612,18
강원도 횡성군 ,2023년12월,여,879,1582,1364,1362,2119,3815,5640,2997,2299,458,18
강원도 영월군 ,2023년12월,여,669,1129,1212,1077,1886,3052,4110,2601,1946,325,7
강원도 평창군 ,2023년12월,여,739,1222,1199,1205,2070,3513,4733,2740,1842,326,14
강원도 정선군 ,2023년12월,여,662,1095,942,1012,1813,2730,3786,2384,1646,276,12
강원도 철원군 ,2023년12월,여,1316,1558,1651,1829,2315,3073,3761,2411,1765,278,13
강원도 화천군 ,2023년12월,여,695,811,988,1033,1095,1695,1960,1168,1072,161,8
강원도 인제군 ,2023년12월,여,1118,1129,1218,1602,1785,2214,2833,1387,1098,208,6
강원도 고성군 ,2023년12월,여,639,748,946,1045,1321,2092,2929,1888,1426,245,8
강원도 양양군 ,2023년12월,여,549,766,840,904,1540,2255,2998,1986,1384,283,13
충청북도 청주시 ,2023년12월,여,31145,41021,51093,54183,65891,70844,58017,28161,18055,3253,77
충청북도 충주시 ,2023년12월,여,6020,8596,9358,9856,14079,17854,18038,10021,7214,1288,34
충청북도 제천시 ,2023년12월,여,3401,5450,6239,5298,7975,11183,12603,7048,4753,765,23
충청북도 보은군 ,2023년12월,여,534,871,801,824,1276,2373,3641,2331,2198,484,6
충청북도 옥천군 ,2023년12월,여,923,1704,1591,1523,2633,3990,5189,3355,2719,528,18
충청북도 영동군 ,2023년12월,여,792,1405,1442,1189,2026,3591,4952,3405,2767,464,16
충청북도 진천군 ,2023년12월,여,3121,4067,3601,4761,6490,6484,5953,3117,2537,466,5
충청북도 괴산군 ,2023년12월,여,543,877,877,879,1449,2955,4561,2778,2336,454,9
충청북도 음성군 ,2023년12월,여,2203,3367,3519,3719,5532,7728,8241,4389,3374,640,17
충청남도 천안시 ,2023년12월,여,24259,32742,41778,44913,53268,52855,38684,17869,11259,2093,70
충청남도 공주시 ,2023년12월,여,2156,3761,5167,3774,5662,8306,10248,6154,4890,1030,32
충청남도 보령시 ,2023년12월,여,2402,3649,3429,3572,5669,7605,9354,6274,4444,855,25
충청남도 서산시 ,2023년12월,여,6238,8153,6830,8805,12653,13791,12821,7484,5796,1288,40
충청남도 논산시 ,2023년12월,여,2729,4282,4259,4289,6328,8865,10653,6976,5675,1151,29
충청남도 계룡시 ,2023년12월,여,1862,2993,2156,2620,4375,4017,3015,1312,843,174,6
충청남도 당진시 ,2023년12월,여,6352,7934,6022,8765,12267,12194,11920,7124,5649,1049,39
충청남도 금산군 ,2023년12월,여,969,1907,1440,1469,2493,3966,5253,3615,3080,527,19
충청남도 부여군 ,2023년12월,여,1020,1903,1813,1678,2757,4530,6843,4886,4255,917,27
충청남도 서천군 ,2023년12월,여,888,1514,1320,1313,2244,3577,5367,4192,3600,825,19
충청남도 청양군 ,2023년12월,여,473,901,1011,818,1151,2127,3308,2274,2226,447,5
충청남도 예산군 ,2023년12월,여,1627,2636,2611,2825,4141,5998,8151,5597,4569,885,29
전라북도 전주시 ,2023년12월,여,21499,32943,40581,37337,50738,55305,45210,25904,14774,2654,73
전라북도 군산시 ,2023년12월,여,8113,12406,11786,12391,19537,21180,20745,12904,7622,1536,41
전라북도 익산시 ,2023년12월,여,7235,12443,14565,12276,18158,23657,22600,13605,9222,1849,45
전라북도 정읍시 ,2023년12월,여,2422,4084,4073,3672,6138,8356,9136,6898,5939,1238,40
전라북도 남원시 ,2023년12월,여,1828,3163,2794,2711,4520,6346,6990,5212,4637,876,30
전라북도 김제시 ,2023년12월,여,1759,2802,3020,2984,4094,5888,7805,5950,5268,1191,38
전라북도 완주군 ,2023년12월,여,3088,4167,4051,4997,6327,7448,7953,4860,3932,787,25
전라북도 진안군 ,2023년12월,여,455,740,686,715,951,1843,2541,1890,1768,365,14
전라북도 무주군 ,2023년12월,여,399,846,673,671,1124,1764,2362,1751,1708,309,15
전라북도 장수군 ,2023년12월,여,397,748,570,582,936,1576,2123,1635,1611,260,10
전라북도 임실군 ,2023년12월,여,522,692,698,777,929,1814,2483,2093,2178,403,13
전라북도 순창군 ,2023년12월,여,542,1000,879,800,1332,1963,2520,2079,2143,328,17
전라북도 고창군 ,2023년12월,여,958,1713,1463,1545,2313,3743,5187,4187,4005,781,38
전라남도 목포시 ,2023년12월,여,6564,11388,11083,10537,16749,18013,16638,10272,5588,876,32
전라남도 여수시 ,2023년12월,여,8376,12021,12988,12816,18418,22439,22576,13869,8269,1515,55
전라남도 순천시 ,2023년12월,여,9846,13869,15196,15420,20469,24573,20094,10580,7734,1497,45
전라남도 나주시 ,2023년12월,여,4375,4903,5392,6863,7840,7894,8736,6049,5083,950,31
전라남도 광양시 ,2023년12월,여,5625,7636,7532,8340,10803,14059,9905,4652,3443,749,30
전라남도 담양군 ,2023년12월,여,996,1411,1610,1626,2122,3569,4389,3184,2957,517,31
전라남도 곡성군 ,2023년12월,여,394,737,895,720,1170,2045,2616,2120,2328,491,14
전라남도 구례군 ,2023년12월,여,428,774,685,676,1109,1973,2492,1952,1971,357,7
전라남도 고흥군 ,2023년12월,여,1037,1591,1464,1456,2367,4044,6523,5996,5489,1206,47
전라남도 보성군 ,2023년12월,여,601,1118,1011,917,1530,2608,3861,3341,3497,711,26
전라남도 화순군 ,2023년12월,여,1313,2435,2896,2194,3454,5205,5171,3922,3707,618,17
전라남도 강진군 ,2023년12월,여,700,1080,1021,1023,1500,2360,3290,2697,2555,537,10
전라남도 해남군 ,2023년12월,여,1420,2321,2001,1877,3146,4743,6345,5146,4505,795,27
전라남도 영암군 ,2023년12월,여,1248,1970,1897,1855,2843,3993,4356,3296,2974,529,17
전라남도 무안군 ,2023년12월,여,3431,4977,4235,5024,6925,6196,6036,4186,3268,566,21
전라남도 함평군 ,2023년12월,여,488,858,874,818,1222,2116,2989,2611,2616,486,18
전라남도 영광군 ,2023년12월,여,1712,1893,1954,2202,2693,3675,4369,3736,3159,460,23
전라남도 장성군 ,2023년12월,여,972,1462,1449,1418,2152,3160,3772,2983,2829,438,16
전라남도 완도군 ,2023년12월,여,1149,1600,1295,1410,2331,3190,4533,3727,3266,578,17
전라남도 신안군 ,2023년12월,여,621,947,936,876,1292,2578,3698,3128,2934,499,14
경상북도 포항시 ,2023년12월,여,15458,21867,20851,24460,36189,43238,44151,22403,12056,2061,57
경상북도 경주시 ,2023년12월,여,6531,9375,9982,10651,15804,22388,22901,14261,9922,1725,43
경상북도 김천시 ,2023년12월,여,4171,5590,5439,6358,8810,11034,12146,7759,5972,1116,38
경상북도 안동시 ,2023년12월,여,4088,6104,6907,6536,9959,12238,13745,9404,7063,1322,31
경상북도 구미시 ,2023년12월,여,15892,20987,20836,27084,35101,35303,23766,9912,6335,1120,39
경상북도 영주시 ,2023년12월,여,2357,4132,3825,3398,6043,8266,9826,6723,4952,921,26
경상북도 영천시 ,2023년12월,여,2437,2988,3300,3917,5150,8172,9962,7011,5269,855,14
경상북도 상주시 ,2023년12월,여,2064,3435,2885,3003,4889,7279,9793,6889,6165,1245,45
경상북도 문경시 ,2023년12월,여,1574,2362,2383,2333,3706,5375,7184,5144,4164,726,29
경상북도 경산시 ,2023년12월,여,8238,11099,15829,13991,19227,23365,20312,11922,7232,1110,33
경상북도 의성군 ,2023년12월,여,787,991,1056,1262,1735,3443,6041,4702,4435,800,26
경상북도 청송군 ,2023년12월,여,396,510,539,580,919,1841,2891,2129,1845,302,4
경상북도 영양군 ,2023년12월,여,262,422,371,393,597,1117,1810,1344,1297,232,11
경상북도 영덕군 ,2023년12월,여,619,898,815,927,1527,2584,3820,3166,2961,491,15
경상북도 청도군 ,2023년12월,여,600,1039,951,1039,1733,3198,4907,3670,3019,651,16
경상북도 고령군 ,2023년12월,여,525,820,863,830,1461,2401,3228,2280,1913,333,8
경상북도 성주군 ,2023년12월,여,745,995,1012,1271,1723,3324,4810,3284,2420,492,10
경상북도 칠곡군 ,2023년12월,여,3349,5177,4169,5344,9072,9560,7691,4279,3351,598,25
경상북도 봉화군 ,2023년12월,여,440,844,628,640,1163,2199,3475,2397,2290,425,12
경상북도 울진군 ,2023년12월,여,1166,1514,1536,1669,2603,3622,4527,2998,2839,628,14
경상북도 울릉군 ,2023년12월,여,143,224,293,312,457,737,902,582,325,69,0
경상남도 창원시 ,2023년12월,여,32624,46548,48200,56354,77848,91832,81970,39349,20159,3457,64
경상남도 진주시 ,2023년12월,여,11380,16151,18501,18453,25587,29213,26807,15258,9595,1691,46
경상남도 통영시 ,2023년12월,여,3310,6006,3979,4977,9182,10312,11390,6509,3758,598,13
경상남도 사천시 ,2023년12월,여,3142,4884,3784,4632,7911,8861,9268,6204,4346,845,14
경상남도 김해시 ,2023년12월,여,19172,28953,27032,30200,45920,51022,34544,16304,9302,1424,31
경상남도 밀양시 ,2023년12월,여,2178,3483,3204,3626,5639,8573,11479,7363,5281,889,13
경상남도 거제시 ,2023년12월,여,9138,13614,8563,12612,21390,19450,15402,6657,3872,780,18
경상남도 양산시 ,2023년12월,여,13850,17591,16178,21466,30157,30772,25913,13262,7230,1075,32
경상남도 의령군 ,2023년12월,여,379,629,580,713,1056,1884,2803,2065,2228,458,12
경상남도 함안군 ,2023년12월,여,1328,2635,1740,1994,3832,4838,5693,3646,3062,588,7
경상남도 창녕군 ,2023년12월,여,1085,1786,1394,1691,2784,4533,6510,4347,3719,694,12
경상남도 고성군 ,2023년12월,여,861,1771,1326,1322,2559,3918,5267,3731,3069,665,9
경상남도 남해군 ,2023년12월,여,625,1155,976,995,1852,3034,4438,3558,3412,855,21
경상남도 하동군 ,2023년12월,여,662,1099,1007,1026,1728,3390,4656,3374,3127,697,15
경상남도 산청군 ,2023년12월,여,467,864,829,783,1355,2740,3904,2740,2734,563,15
경상남도 함양군 ,2023년12월,여,684,1268,1042,1020,1749,2976,3926,2916,2856,572,14
경상남도 거창군 ,2023년12월,여,1436,2567,2103,2084,3459,4896,5658,3959,3582,726,22
경상남도 합천군 ,2023년12월,여,552,1022,974,897,1565,2999,4713,3741,3860,720,28
제주특별자치도 제주시 ,2023년12월,여,18845,25481,26899,29443,39374,41898,32671,17300,11251,2736,195
제주특별자치도 서귀포시 ,2023년12월,여,6172,8520,7690,9111,14015,15297,14358,8588,6017,1332,83
